metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# hits	
4698560.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	223	-19.08	91.07	52.21	21	
4698570.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	64	-17.84	92.35	49.27	12	
4698546.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	98	-18.72	91.19	50.99	18	
4698578.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	267	-21.30	87.77	57.54	18	
4698553.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	155	-20.08	91.89	53.02	16	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	86	-15.97	91.48	45.71	20	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	68	-19.52	91.63	52.58	12	
4698551.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	152	-18.95	91.63	51.56	18	
4698569.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	145	-20.25	91.64	53.78	16	
4698548.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	257	-19.57	91.09	52.51	22	
4698554.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	29	-18.72	89.53	51.62	9	
4698562.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	32	-18.81	88.67	52.56	11	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	297	-20.31	92.70	53.07	26	
4698577.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	243	-20.26	91.42	53.55	20	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	Allantoate amidohydrolase (EC 3.5.3.9)	1	-5.00	74.07	27.00	1	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	Allantoinase (EC 3.5.2.5)	1	-5.00	72.41	29.00	1	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	Allantoinase (EC 3.5.2.5)	1	-5.00	72.41	29.00	1	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	Allantoinase (EC 3.5.2.5)	1	-5.00	72.41	29.00	1	
4698560.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	4	-27.50	84.13	70.25	2	
4698570.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1	-29.00	80.00	75.00	1	
4698546.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	9	-11.00	85.67	37.50	2	
4698578.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	6	-25.00	80.65	67.00	3	
4698553.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	9	-22.00	86.61	58.00	3	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	3	-17.67	82.18	52.33	1	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	2	-19.50	83.41	53.00	2	
4698551.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	2	-25.00	85.05	66.50	2	
4698569.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	7	-17.60	86.02	50.80	2	
4698548.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1	-10.00	80.00	40.00	1	
4698562.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1	-13.00	78.00	50.00	1	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	4	-17.75	78.56	56.50	2	
4698577.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	9	-19.67	84.61	55.00	2	
4698560.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	11	-18.12	85.07	51.25	4	
4698570.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	3	-11.33	91.27	34.67	3	
4698546.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	9	-18.22	82.43	55.45	3	
4698578.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	4	-16.67	77.29	52.00	3	
4698553.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	8	-18.33	79.78	53.45	6	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	7	-17.00	81.67	51.14	3	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	5	-10.80	83.99	38.20	5	
4698551.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	6	-14.33	84.99	43.50	5	
4698569.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	8	-19.00	77.95	53.86	4	
4698548.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	12	-14.33	87.21	43.58	5	
