metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698582.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Alkyl hydroperoxide reductase subunit C-like protein	227	0	-21.93	93.83	52.88	35	1	
4698579.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Alkyl hydroperoxide reductase subunit C-like protein	25	1	-25.70	92.81	58.75	9	1	
4698578.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Alkyl hydroperoxide reductase subunit C-like protein	184	1	-23.36	93.40	55.05	32	1	
4698565.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Alkyl hydroperoxide reductase subunit C-like protein	48	1	-21.57	89.28	53.98	20	1	
4698582.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Hydrogen peroxide-inducible genes activator	214	2	-23.33	90.56	58.65	28	1	
4698581.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Hydrogen peroxide-inducible genes activator	102	1	-26.06	93.74	61.30	18	1	
4698548.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Hydrogen peroxide-inducible genes activator	214	1	-21.84	90.58	55.93	27	1	
4698549.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Hydrogen peroxide-inducible genes activator	107	4	-24.81	89.00	62.30	17	1	
4698574.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Hydrogen peroxide-inducible genes activator	64	3	-21.73	89.15	56.58	17	1	
4698570.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Hydrogen peroxide-inducible genes activator	51	1	-22.77	90.12	57.55	14	1	
4698551.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Hydrogen peroxide-inducible genes activator	168	1	-23.26	92.35	57.20	23	1	
4698547.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Hydrogen peroxide-inducible genes activator	101	2	-24.72	89.68	61.28	17	1	
4698541.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	48	4	-24.22	90.27	59.16	17	2	
4698575.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	155	2	-23.24	90.16	57.87	35	1	
4698558.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	46	2	-22.68	88.29	57.30	19	1	
4698582.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	435	30	-23.12	91.86	56.98	44	3	
4698581.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	150	18	-25.88	88.74	63.82	24	3	
4698548.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	423	37	-22.00	90.86	55.30	45	3	
4698579.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	57	5	-24.58	90.03	60.16	20	2	
4698572.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	81	2	-25.79	90.30	62.31	20	1	
4698542.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	73	0	-21.35	92.19	53.51	21	1	
4698578.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	407	19	-23.10	88.73	58.31	44	2	
4698546.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	87	4	-22.56	92.54	55.90	20	1	
4698553.3	Sulfur Metabolism	-	Thioredoxin-disulfide reductase	Thioredoxin reductase (EC 1.8.1.9)	197	16	-21.96	92.55	54.01	29	2	
