metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698553.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	19	13	-17.15	91.86	45.65	4	1	
4698543.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	5	3	-22.60	89.60	56.00	3	1	
4698578.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	13	6	-22.69	85.28	58.62	6	1	
4698545.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	5	2	-20.00	84.84	55.20	3	1	
4698577.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	45	26	-18.23	89.02	47.91	11	1	
4698554.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	3	2	-12.67	87.88	37.33	2	1	
4698581.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	9	2	-19.00	82.98	53.78	6	1	
4698575.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	3	2	-19.00	91.23	47.00	2	1	
4698546.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	20	15	-18.90	91.54	48.95	4	1	
4698571.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	2	2	-21.00	100.00	45.00	1	1	
4698567.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	2	2	-28.00	100.00	57.00	1	1	
4698569.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	25	18	-19.46	92.27	49.86	4	1	
4698582.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	81	38	-20.38	86.59	54.18	12	1	
4698574.3	Photosynthesis	-	Proteorhodopsin	Beta-carotene ketolase (EC 1.14.-.-)	16	9	-16.76	86.67	46.65	6	1	
