metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	258	1	-21.99	94.98	52.92	25	1	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	267	2	-22.72	94.24	54.82	22	1	
4698541.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	200	7	-27.17	95.26	62.12	21	1	
4698580.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	182	1	-30.62	93.98	68.29	16	1	
4698558.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	120	1	-28.70	93.73	65.19	18	1	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	1309	57	-26.83	93.26	62.31	66	1	
4698581.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	507	14	-30.64	94.72	68.13	26	1	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	1088	41	-24.82	93.47	58.72	66	1	
4698579.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	222	6	-27.73	94.80	63.12	23	1	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	193	1	-23.52	94.11	56.18	38	1	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	1239	16	-27.09	93.47	62.77	48	1	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	313	1	-27.29	93.33	62.81	40	1	
4698549.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	629	68	-27.20	90.28	65.21	47	1	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	931	29	-24.20	93.51	57.72	59	1	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	220	12	-25.68	91.97	61.38	44	1	
4698576.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	425	1	-32.19	93.81	71.25	23	1	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	214	12	-22.88	92.01	56.08	34	1	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	793	13	-24.93	95.33	57.72	46	1	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	948	21	-27.18	94.67	62.11	48	1	
4698563.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	461	10	-28.66	94.54	64.84	23	1	
4698547.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	562	65	-25.54	90.91	61.64	40	1	
4698571.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	95	1	-26.54	90.42	64.46	16	1	
4698545.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	111	5	-26.95	84.35	68.56	20	1	
4698541.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	37	1	-27.67	93.66	62.14	7	1	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	242	28	-27.08	92.00	62.52	23	2	
4698581.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	123	5	-28.81	92.75	65.31	14	2	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	213	22	-25.01	93.21	58.02	20	2	
4698579.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	47	2	-28.39	94.06	63.57	9	1	
