metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698541.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	2	2	-24.00	99.14	53.50	1	1	
4698576.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	3	2	-18.67	92.45	48.67	2	1	
4698548.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	3	2	-15.00	89.68	43.67	2	1	
4698582.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	6	1	-18.17	70.08	65.17	4	1	
4698543.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	1	1	-29.00	100.00	65.00	1	1	
4698563.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	2	2	-36.00	100.00	77.00	1	1	
4698575.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	1	1	-25.00	98.18	55.00	1	1	
4698570.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	3	2	-11.67	88.89	37.67	3	2	
4698542.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	4	2	-17.00	83.11	54.25	3	1	
4698549.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	6	6	-25.50	99.41	57.33	2	2	
4698572.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	1	1	-37.00	98.67	75.00	1	1	
4698573.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	4	3	-31.25	92.15	68.75	2	1	
4698560.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	4	2	-22.00	85.68	55.75	3	1	
4698553.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	2	1	-23.50	83.79	59.00	2	1	
4698569.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	4	3	-27.25	90.65	63.75	3	2	
4698577.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	5	2	-13.20	81.48	42.60	3	2	
4698581.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	6	6	-29.83	99.80	66.33	2	2	
4698574.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	5	2	-19.80	80.05	58.80	4	1	
4698579.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	2	2	-30.00	100.00	65.50	2	2	
4698551.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	3	1	-10.33	80.90	39.33	3	1	
4698571.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	1	1	-40.00	100.00	82.00	1	1	
4698547.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	3	3	-33.00	100.00	70.33	2	2	
4698544.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	1	1	-18.00	97.62	42.00	1	1	
4698578.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	ATP-binding protein PhnN	7	3	-13.78	74.67	52.33	5	1	
4698556.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	22	2	-20.06	78.86	59.38	11	1	
4698541.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	8	5	-25.62	91.91	60.88	4	2	
4698576.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	11	3	-18.42	82.77	55.33	8	2	
4698548.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	39	7	-17.74	77.90	56.23	15	2	
4698582.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	83	12	-19.17	78.31	59.24	17	2	
4698562.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	3	1	-26.00	80.11	71.00	3	1	
4698543.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	12	2	-20.55	76.82	61.27	7	1	
4698563.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	13	9	-16.77	91.83	47.31	5	2	
4698575.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	13	6	-13.62	84.37	43.38	4	1	
4698570.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	9	2	-22.22	79.67	63.89	8	2	
4698542.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	20	6	-14.20	84.48	44.75	8	2	
4698549.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	13	9	-23.38	92.27	59.23	6	2	
4698565.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	11	2	-13.36	76.96	46.91	9	2	
4698546.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	27	6	-18.96	77.82	59.00	12	2	
4698572.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	7	1	-15.57	79.54	50.00	5	1	
4698573.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	16	7	-21.00	82.06	60.28	7	2	
4698560.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	25	3	-14.27	82.03	47.86	7	1	
4698553.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	26	8	-20.12	85.56	55.04	12	2	
4698569.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	33	10	-19.00	83.07	55.47	14	2	
4698577.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	56	10	-15.59	81.04	50.05	14	2	
4698581.3	Phosphorus Metabolism	-	Alkylphosphonate utilization	Metal-dependent hydrolase involved in phosphonate metabolism	14	9	-25.27	88.37	64.13	7	2	
