metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698548.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	170	1	-24.13	95.86	56.69	18	1	
4698582.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	197	3	-25.05	95.40	58.18	15	1	
4698543.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	24	2	-24.67	94.40	58.95	7	1	
4698542.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	67	2	-21.57	95.31	52.56	9	1	
4698549.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	81	1	-28.37	96.19	63.32	9	1	
4698546.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	84	1	-22.53	94.31	54.40	13	1	
4698572.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	63	1	-30.60	97.01	66.71	9	1	
4698553.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	135	1	-25.13	96.94	57.32	14	1	
4698569.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	150	2	-26.02	97.33	59.00	13	1	
4698577.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	184	2	-25.27	95.36	58.67	14	1	
4698544.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	16	1	-21.33	96.20	52.40	7	1	
4698578.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	213	1	-27.08	96.05	61.29	15	1	
4698556.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	38	2	-24.66	88.34	62.62	11	1	
4698541.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	23	2	-27.75	91.08	65.96	6	1	
4698576.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	81	3	-25.75	92.98	62.03	15	2	
4698548.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	286	8	-22.09	95.68	53.73	20	2	
4698582.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	370	8	-21.98	95.38	53.77	23	2	
4698543.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	56	2	-25.29	87.84	64.33	14	2	
4698563.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	68	7	-26.72	94.91	62.48	13	2	
4698575.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	70	2	-25.74	92.71	61.98	13	2	
4698570.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	91	4	-21.27	96.78	52.03	12	2	
4698568.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	31	1	-21.05	81.79	60.81	10	1	
4698567.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	22	1	-22.67	90.59	58.50	10	1	
4698542.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	98	3	-19.98	96.54	49.65	12	2	
4698549.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	82	6	-29.18	90.92	69.17	12	2	
4698546.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	123	4	-20.48	95.59	50.95	15	2	
4698572.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	93	2	-23.67	93.09	57.88	16	2	
4698573.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	76	3	-25.41	93.05	60.67	11	2	
4698560.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	244	3	-22.90	95.17	55.52	19	1	
4698553.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	188	7	-22.07	96.21	53.59	13	2	
4698569.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	195	7	-23.10	96.42	55.12	14	2	
4698577.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	235	5	-21.83	95.57	53.80	20	2	
4698581.3	Secondary Metabolism	Plant Hormones	Auxin biosynthesis	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	81	9	-28.64	93.87	66.49	13	2	
