metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698556.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	37	1	-19.50	89.06	53.82	10	1	
4698541.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	25	4	-23.72	89.13	60.80	8	2	
4698548.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	257	4	-19.57	91.09	52.51	22	1	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	297	5	-20.31	92.70	53.07	26	1	
4698562.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	32	1	-18.81	88.67	52.56	11	1	
4698543.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	22	2	-21.41	90.46	57.36	10	1	
4698563.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	69	10	-22.33	89.51	58.07	11	1	
4698575.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	80	3	-22.85	88.97	59.34	12	2	
4698570.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	64	3	-17.84	92.35	49.27	12	1	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	86	4	-15.97	91.48	45.71	20	1	
4698549.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	80	9	-23.20	86.35	61.69	8	1	
4698546.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	98	7	-18.72	91.19	50.99	18	2	
4698572.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	41	1	-21.50	90.83	56.84	7	1	
4698573.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	82	4	-21.59	88.69	57.22	12	2	
4698560.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	223	4	-19.08	91.07	52.21	21	1	
4698553.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	155	4	-20.08	91.89	53.02	16	2	
4698569.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	145	3	-20.25	91.64	53.78	16	2	
4698577.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	243	7	-20.26	91.42	53.55	20	2	
4698581.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	89	9	-22.98	89.15	59.33	13	2	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	68	2	-19.52	91.63	52.58	12	1	
4698579.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	31	6	-26.16	88.63	66.32	6	2	
4698580.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	21	1	-26.81	92.66	63.33	5	1	
4698551.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	152	5	-18.95	91.63	51.56	18	1	
4698554.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	29	1	-18.72	89.53	51.62	9	1	
4698558.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	22	1	-20.18	93.10	52.18	6	1	
4698547.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	70	8	-21.18	86.29	57.80	10	2	
4698544.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	17	1	-19.50	89.18	54.12	8	1	
4698578.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	267	3	-21.30	87.77	57.54	18	1	
4698541.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	1	1	-28.00	96.88	64.00	1	1	
4698576.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	4	2	-12.50	79.25	43.00	4	2	
4698548.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	12	7	-14.33	87.21	43.58	5	2	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	12	8	-16.92	84.58	50.33	5	2	
4698543.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	3	2	-25.33	92.31	57.33	3	2	
4698575.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	7	7	-21.86	90.96	53.29	2	2	
4698570.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	3	2	-11.33	91.27	34.67	3	2	
4698567.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	1	1	-31.00	100.00	63.00	1	1	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	7	6	-17.00	81.67	51.14	3	2	
4698549.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	4	4	-20.00	98.88	47.25	1	1	
4698546.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	9	6	-18.22	82.43	55.45	3	2	
4698573.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	5	5	-22.60	87.10	56.60	2	2	
4698560.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	11	6	-18.12	85.07	51.25	4	2	
4698553.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	8	5	-18.33	79.78	53.45	6	2	
4698569.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	8	2	-19.00	77.95	53.86	4	1	
4698577.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	16	8	-11.00	82.44	39.33	5	2	
4698581.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	3	3	-14.33	96.96	39.33	2	2	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	5	2	-10.80	83.99	38.20	5	2	
4698579.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	2	2	-17.50	97.22	44.50	1	1	
4698580.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	3	2	-16.67	79.64	52.33	3	2	
4698551.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	6	3	-14.33	84.99	43.50	5	2	
4698547.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	2	2	-19.50	97.58	48.00	1	1	
4698578.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	4	1	-16.67	77.29	52.00	3	1	
