metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698556.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	23	3	-16.78	73.16	53.48	6	2	
4698541.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	29	8	-16.74	78.86	50.08	8	2	
4698576.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	55	5	-18.00	72.50	55.98	7	2	
4698548.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	122	14	-15.65	73.86	51.01	11	2	
4698582.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	145	17	-16.64	73.93	52.82	9	2	
4698562.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	19	1	-15.37	71.53	51.58	7	1	
4698543.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	6	2	-20.67	77.12	57.00	3	1	
4698563.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	64	13	-16.06	75.60	50.97	8	2	
4698575.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	71	9	-17.87	72.72	57.03	9	2	
4698570.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	22	2	-17.64	72.05	54.95	8	2	
4698568.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	1	1	-38.00	98.61	72.00	1	1	
4698567.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	6	1	-14.00	73.85	45.17	3	1	
4698542.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	31	8	-15.20	78.09	47.33	6	2	
4698549.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	59	16	-19.87	78.77	56.20	8	2	
4698565.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	15	2	-16.00	73.48	50.50	6	1	
4698546.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	35	9	-17.50	77.02	52.53	8	2	
4698572.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	57	6	-17.25	72.65	55.23	8	2	
4698573.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	78	7	-17.08	72.80	54.97	8	2	
4698560.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	139	7	-15.26	71.21	52.36	11	2	
4698553.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	110	13	-15.69	73.89	50.65	13	2	
4698569.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	112	14	-17.01	73.89	53.07	10	2	
4698577.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	113	16	-15.82	74.28	51.32	10	2	
4698581.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	68	18	-20.95	77.74	58.55	9	2	
4698574.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	27	1	-16.00	73.44	51.36	7	1	
4698545.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	1	1	-38.00	100.00	71.00	1	1	
4698579.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	35	9	-19.00	78.68	54.12	9	2	
4698551.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	93	4	-15.34	71.28	51.87	10	2	
4698554.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	19	1	-11.74	71.79	44.26	7	1	
4698571.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	8	1	-14.57	71.34	48.29	5	1	
4698547.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	51	10	-16.43	75.12	52.35	8	2	
4698544.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	7	2	-13.14	75.36	43.57	3	2	
4698578.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Alpha-galactosidase (EC 3.2.1.22)	108	6	-14.23	71.63	49.49	11	2	
4698556.3	Sulfur Metabolism	-	Galactosylceramide and Sulfatide metabolism	Beta-galactosidase (EC 3.2.1.23)	51	1	-27.89	85.53	65.85	7	1	
