metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698553.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	155	48	-20.08	91.89	53.02	16	2	
4698543.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	22	5	-21.41	90.46	57.36	10	2	
4698578.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	267	29	-21.30	87.77	57.54	18	2	
4698545.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	13	4	-20.31	85.35	57.31	8	2	
4698577.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	243	79	-20.26	91.42	53.55	20	2	
4698580.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	21	2	-26.81	92.66	63.33	5	1	
4698554.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	29	6	-18.72	89.53	51.62	9	2	
4698581.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	89	3	-22.98	89.15	59.33	13	2	
4698575.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	80	6	-22.85	88.97	59.34	12	2	
4698546.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	98	30	-18.72	91.19	50.99	18	2	
4698558.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	22	4	-20.18	93.10	52.18	6	2	
4698569.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	145	48	-20.25	91.64	53.78	16	2	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	297	104	-20.31	92.70	53.07	26	2	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	68	24	-19.52	91.63	52.58	12	2	
4698563.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	69	5	-22.33	89.51	58.07	11	2	
4698568.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	11	4	-18.64	88.44	52.82	7	2	
4698551.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	152	51	-18.95	91.63	51.56	18	2	
4698548.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	257	81	-19.57	91.09	52.51	22	2	
4698573.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	82	6	-21.59	88.69	57.22	12	2	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	86	27	-15.97	91.48	45.71	20	2	
4698576.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	42	9	-23.02	89.24	60.36	8	2	
4698549.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	80	2	-23.20	86.35	61.69	8	2	
4698562.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	32	5	-18.81	88.67	52.56	11	2	
4698560.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	223	64	-19.08	91.07	52.21	21	2	
4698565.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	26	3	-20.69	87.07	55.96	6	2	
4698572.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	41	8	-21.50	90.83	56.84	7	2	
4698570.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	64	25	-17.84	92.35	49.27	12	2	
4698544.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	17	4	-19.50	89.18	54.12	8	1	
4698547.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	70	4	-21.18	86.29	57.80	10	2	
4698556.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	37	5	-19.50	89.06	53.82	10	2	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	326	33	-21.84	94.36	53.93	26	1	
4698543.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	98	1	-22.43	79.66	63.53	23	1	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	525	20	-23.77	91.77	58.55	48	2	
4698545.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	45	3	-21.79	80.90	61.60	16	1	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	459	88	-20.56	93.05	52.27	46	3	
4698580.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	62	2	-24.75	90.34	60.69	12	1	
4698554.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	72	3	-20.31	92.79	51.65	17	1	
4698581.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	139	2	-25.46	92.14	61.74	24	1	
4698575.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	141	4	-24.36	92.38	59.14	20	1	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	182	30	-21.50	92.37	54.39	30	2	
4698571.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	28	3	-23.71	92.41	58.32	10	1	
4698558.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	39	2	-25.64	91.15	62.46	9	1	
4698567.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	26	3	-20.92	90.20	53.85	8	1	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	249	34	-22.98	94.24	55.95	22	1	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	554	91	-22.66	92.39	56.34	44	3	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	147	30	-21.71	91.69	54.99	28	2	
4698563.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	120	1	-23.49	93.59	57.40	20	1	
4698568.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	42	4	-16.09	80.40	51.12	16	2	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	350	45	-21.81	93.72	53.94	29	2	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	425	74	-21.03	92.08	53.53	41	4	
4698573.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	162	4	-25.27	92.12	61.42	17	1	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	150	24	-18.83	93.56	48.84	27	2	
4698576.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	148	6	-26.57	91.63	63.27	23	1	
4698549.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	145	2	-24.61	87.10	62.42	23	1	
4698562.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	74	3	-23.82	92.89	58.17	19	1	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	456	49	-24.16	94.08	58.00	36	1	
4698565.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	69	1	-18.61	85.01	52.41	20	1	
4698572.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	121	5	-25.37	91.86	61.59	22	1	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	137	31	-19.38	91.60	50.23	34	3	
4698544.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	67	2	-18.52	81.76	53.50	20	1	
4698547.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	136	3	-23.52	89.05	59.50	22	1	
4698556.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	67	0	-24.41	84.84	63.72	18	1	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	33	33	-16.00	99.75	40.64	1	1	
4698543.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	2	1	-9.00	88.75	35.50	2	1	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	20	20	-16.90	99.17	42.35	2	2	
4698545.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	7	3	-16.86	85.49	51.57	3	1	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	88	88	-19.52	99.53	46.50	3	3	
4698580.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	2	2	-40.50	100.00	79.50	1	1	
4698554.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	3	3	-23.00	100.00	50.67	1	1	
4698581.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	2	2	-11.00	100.00	32.50	1	1	
4698575.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	5	4	-24.60	94.07	58.20	2	1	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	31	30	-18.14	99.71	44.14	3	2	
4698571.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	3	3	-29.67	100.00	62.00	1	1	
4698558.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	2	2	-41.00	100.00	82.00	1	1	
4698567.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	3	3	-24.00	99.24	53.33	1	1	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	34	34	-17.44	99.76	42.74	1	1	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	94	91	-19.00	98.56	46.42	4	3	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	30	30	-19.52	99.78	46.88	2	2	
4698563.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	1	1	-12.00	97.22	36.00	1	1	
4698568.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	4	4	-12.00	97.78	33.33	2	2	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	45	45	-17.78	99.61	43.31	2	2	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	76	74	-19.04	97.85	47.27	5	4	
4698573.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	4	4	-28.25	99.69	60.25	1	1	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	25	24	-17.20	99.45	43.20	3	2	
4698576.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	8	6	-15.75	93.54	44.62	2	1	
4698549.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	2	2	-36.00	99.19	72.00	1	1	
