metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698553.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	135	15	-25.13	96.94	57.32	14	2	
4698543.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	24	6	-24.67	94.40	58.95	7	1	
4698578.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	213	12	-27.08	96.05	61.29	15	2	
4698545.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	7	2	-28.29	90.20	66.29	5	1	
4698577.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	184	32	-25.27	95.36	58.67	14	1	
4698580.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	20	1	-27.21	95.29	61.26	7	1	
4698554.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	31	2	-26.32	97.54	59.52	5	1	
4698581.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	60	4	-25.91	96.17	59.43	9	1	
4698575.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	80	7	-28.89	96.19	64.18	9	1	
4698546.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	84	22	-22.53	94.31	54.40	13	2	
4698571.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	11	2	-28.80	98.37	64.00	3	1	
4698558.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	25	1	-26.20	95.62	59.55	7	1	
4698567.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	12	3	-25.00	98.29	57.60	3	1	
4698569.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	150	17	-26.02	97.33	59.00	13	1	
4698582.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	197	34	-25.05	95.40	58.18	15	1	
4698574.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	52	12	-26.48	95.13	60.79	10	1	
4698563.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	62	4	-26.51	96.22	60.41	9	1	
4698568.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	4	2	-19.25	94.46	50.25	3	1	
4698551.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	124	23	-21.52	96.82	51.41	13	1	
4698548.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	170	29	-24.13	95.86	56.69	18	1	
4698573.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	67	4	-30.07	95.46	66.59	8	1	
4698542.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	67	18	-21.57	95.31	52.56	9	1	
4698576.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	82	7	-30.64	96.35	67.60	10	1	
4698549.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	81	1	-28.37	96.19	63.32	9	1	
4698562.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	29	2	-25.04	95.62	57.44	7	1	
4698560.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	155	30	-24.58	95.91	57.43	16	3	
4698565.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	22	1	-22.15	94.65	53.70	7	1	
4698572.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	63	3	-30.60	97.01	66.71	9	1	
4698570.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	51	12	-19.96	94.54	49.91	11	1	
4698544.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	16	5	-21.33	96.20	52.40	7	1	
4698547.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	78	1	-26.18	95.03	60.24	10	1	
4698556.3	Secondary Metabolism	Biologically active compounds in metazoan cell defence and differentiation	Quinolinic acid and its derivatives	Quinolinate synthetase (EC 2.5.1.72)	31	1	-27.63	95.60	63.19	7	1	
4698553.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	37	37	-14.46	91.60	41.54	1	1	
4698543.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	3	3	-20.33	93.45	52.67	1	1	
4698578.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	18	18	-15.61	91.31	42.83	1	1	
4698545.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	1	1	-22.00	85.96	57.00	1	1	
4698577.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	59	59	-16.88	91.55	45.70	1	1	
4698580.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	6	6	-25.50	91.17	59.83	1	1	
4698554.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	5	5	-18.60	91.88	48.40	1	1	
4698575.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	5	5	-22.80	90.27	56.60	1	1	
4698546.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	30	30	-15.20	91.72	42.40	1	1	
4698558.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	4	4	-20.75	90.11	52.75	1	1	
4698569.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	34	34	-16.79	91.39	45.38	1	1	
4698582.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	75	75	-16.87	91.77	45.73	1	1	
4698574.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	21	21	-16.71	92.11	44.81	1	1	
4698551.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	34	34	-18.03	91.91	47.44	1	1	
4698548.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	55	55	-17.60	91.55	47.07	1	1	
4698573.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	8	8	-18.25	89.79	48.25	1	1	
4698542.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	27	27	-17.04	91.44	45.78	1	1	
4698576.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	7	7	-22.00	89.27	55.00	1	1	
4698562.3	Secondary Metabolism	Biosynthesis of phenylpropanoids	Salicylic acid biosynthesis1	S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase	4	4	-16.50	91.00	45.00	1	1	
