metagenome	level 1	level 2	level 3	function	abundance	workbench abundance	avg eValue	avg % ident	avg align len	# hits	workbench # hits	
4698553.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	23	11	-18.67	95.06	49.08	5	1	
4698543.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	5	3	-26.40	95.27	63.20	3	1	
4698578.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	12	8	-23.00	98.13	55.17	3	1	
4698541.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	7	1	-20.80	96.42	52.00	4	1	
4698545.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	6	4	-30.67	98.78	69.33	3	1	
4698577.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	35	23	-14.56	98.33	41.00	6	1	
4698554.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	3	1	-13.67	93.07	39.67	3	1	
4698581.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	14	1	-17.75	92.33	48.50	4	1	
4698575.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	13	2	-20.27	89.62	55.00	4	1	
4698546.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	26	13	-17.70	94.31	47.65	6	1	
4698571.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	2	1	-18.00	100.00	47.00	2	1	
4698569.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	25	13	-20.04	96.19	50.69	5	1	
4698582.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	59	41	-19.75	96.79	50.43	6	1	
4698574.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	20	11	-19.06	99.18	48.69	3	1	
4698563.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	13	1	-18.60	95.73	47.10	4	1	
4698568.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	2	1	-28.00	92.31	69.50	2	1	
4698551.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	15	12	-19.27	97.83	49.00	3	1	
4698548.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	51	36	-19.46	97.81	49.67	4	1	
4698573.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	18	2	-23.50	94.18	57.42	4	1	
4698542.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	16	7	-19.69	91.26	52.62	4	1	
4698579.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	5	1	-21.60	93.57	56.40	3	1	
4698576.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	6	2	-26.50	97.28	61.67	3	1	
4698549.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	19	1	-21.43	93.41	54.79	4	1	
4698562.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	4	3	-22.00	97.83	54.50	2	1	
4698560.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	24	17	-17.00	95.66	45.79	4	1	
4698565.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	4	1	-13.75	92.72	41.75	2	1	
4698572.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	6	4	-22.00	95.13	55.83	3	1	
4698570.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	20	9	-16.73	98.60	44.53	4	1	
4698544.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	3	1	-23.67	97.77	55.67	2	1	
4698547.3	Sulfur Metabolism	-	Sulfur oxidation	Cytochrome c-type biogenesis protein CcdA (DsbD analog)	13	1	-17.10	91.64	48.50	4	1	
