trt,lim,cID,seq-ID,time,flow.syn,flow.het
T,P,PL2,134PL2,8,2.26E+07,1.27E+08
T,P,PL2,149PL2,23,2.36E+07,2.48E+08
T,P,PL2,170PL2,44,1.07E+07,2.16E+08
T,P,PL2,184PL2,58,1.36E+07,2.05E+08
T,P,PL2,198PL2,72,2.83E+05,3.65E+07
T,P,PL2,217PL2,91,2.49E+06,6.20E+07
T,P,PL2,228PL2,102,7.41E+05,1.70E+07
T,P,PL2,233PL2,107,2.37E+07,9.34E+07
T,P,PL2,245PL2,119,2.71E+06,1.19E+07
T,P,PL2,257PL2,129,7.92E+06,3.99E+07
T,P,PL4,134PL4,8,1.08E+07,4.72E+07
T,P,PL4,149PL4,23,1.08E+07,2.11E+08
T,P,PL4,170PL4,44,1.81E+05,1.72E+08
T,P,PL4,184PL4,58,9.05E+06,4.87E+08
T,P,PL4,198PL4,72,6.55E+06,3.90E+07
T,P,PL4,217PL4,91,3.56E+06,1.25E+08
T,P,PL4,228PL4,102,2.71E+06,2.12E+07
T,P,PL4,233PL4,107,5.09E+05,5.61E+07
T,P,PL4,245PL4,119,4.81E+07,5.35E+07
T,P,PL4,257PL4,129,1.64E+07,4.41E+07
T,P,PL5,134PL5,8,2.57E+07,3.21E+07
T,P,PL5,149PL5,23,2.73E+07,2.30E+08
T,P,PL5,170PL5,44,4.86E+06,1.85E+08
T,P,PL5,184PL5,58,1.13E+06,7.64E+07
T,P,PL5,198PL5,72,1.87E+06,4.02E+07
T,P,PL5,217PL5,91,2.83E+05,4.50E+07
T,P,PL5,228PL5,102,6.22E+05,6.37E+07
T,P,PL5,233PL5,107,1.41E+06,6.03E+07
T,P,PL5,245PL5,119,3.96E+06,1.44E+07
T,P,PL5,257PL5,129,3.39E+06,2.21E+07
