trt,lim,cID,seq-ID,time,flow.syn,flow.het
C,N,NL1,134NL1,8,3.90E+07,7.76E+07
C,N,NL1,149NL1,23,1.49E+07,7.09E+07
C,N,NL1,170NL1,44,1.49E+07,9.61E+07
C,N,NL1,184NL1,58,1.11E+07,1.38E+08
C,N,NL1,198NL1,72,7.49E+06,5.69E+07
C,N,NL1,217NL1,91,3.11E+06,7.05E+07
C,N,NL1,228NL1,102,5.13E+06,3.03E+07
C,N,NL1,233NL1,107,2.83E+06,4.84E+07
C,N,NL1,245NL1,119,2.88E+06,1.61E+07
C,N,NL1,257NL1,129,1.58E+07,2.88E+07
T,N,NL2,134NL2,8,1.93E+07,7.55E+07
T,N,NL2,149NL2,23,5.99E+05,1.14E+08
T,N,NL2,170NL2,44,1.74E+05,1.04E+08
T,N,NL2,184NL2,58,1.58E+07,2.33E+08
T,N,NL2,198NL2,72,9.90E+06,4.24E+07
T,N,NL2,217NL2,91,3.51E+07,8.92E+07
T,N,NL2,228NL2,102,3.39E+07,6.03E+07
T,N,NL2,233NL2,107,1.53E+07,7.22E+07
T,N,NL2,245NL2,119,3.11E+07,8.66E+07
T,N,NL2,257NL2,129,2.09E+07,4.75E+07
T,N,NL3,134NL3,8,1.08E+07,1.37E+08
T,N,NL3,149NL3,23,4.24E+05,1.89E+08
T,N,NL3,170NL3,44,3.49E+05,1.19E+08
T,N,NL3,184NL3,58,1.92E+07,2.67E+08
T,N,NL3,198NL3,72,3.53E+07,9.25E+07
T,N,NL3,217NL3,91,3.56E+07,1.06E+08
T,N,NL3,228NL3,102,7.46E+07,1.32E+08
T,N,NL3,233NL3,107,9.05E+06,6.88E+07
T,N,NL3,245NL3,119,1.41E+07,8.58E+07
T,N,NL3,257NL3,129,1.36E+07,4.16E+07
T,N,NL5,134NL5,8,4.24E+07,1.30E+08
T,N,NL5,149NL5,23,5.94E+05,9.67E+07
T,N,NL5,170NL5,44,1.74E+05,1.02E+08
T,N,NL5,184NL5,58,2.15E+07,2.13E+08
T,N,NL5,198NL5,72,4.24E+07,6.71E+07
T,N,NL5,217NL5,91,3.34E+07,1.17E+08
T,N,NL5,228NL5,102,7.35E+06,5.86E+07
T,N,NL5,233NL5,107,4.07E+07,8.41E+07
T,N,NL5,245NL5,119,1.98E+06,3.48E+07
T,N,NL5,257NL5,129,3.34E+06,6.20E+07
C,P,PL1,134PL1,8,3.38E+07,5.95E+07
C,P,PL1,149PL1,23,8.48E+07,2.52E+08
C,P,PL1,170PL1,44,1.57E+07,1.35E+08
C,P,PL1,184PL1,58,4.96E+07,3.49E+08
C,P,PL1,198PL1,72,6.13E+06,4.84E+07
C,P,PL1,217PL1,91,3.94E+06,7.55E+07
C,P,PL1,228PL1,102,5.24E+06,3.85E+07
C,P,PL1,233PL1,107,4.86E+07,1.23E+08
C,P,PL1,245PL1,119,8.37E+06,3.22E+07
C,P,PL1,257PL1,129,7.92E+06,4.16E+07
T,P,PL2,134PL2,8,2.26E+07,1.27E+08
T,P,PL2,149PL2,23,2.36E+07,2.48E+08
T,P,PL2,170PL2,44,1.07E+07,2.16E+08
T,P,PL2,184PL2,58,1.36E+07,2.05E+08
T,P,PL2,198PL2,72,2.83E+05,3.65E+07
T,P,PL2,217PL2,91,2.49E+06,6.20E+07
T,P,PL2,228PL2,102,7.41E+05,1.70E+07
T,P,PL2,233PL2,107,2.37E+07,9.34E+07
T,P,PL2,245PL2,119,2.71E+06,1.19E+07
T,P,PL2,257PL2,129,7.92E+06,3.99E+07
C,P,PL3,134PL3,8,2.50E+07,9.09E+07
C,P,PL3,149PL3,23,2.26E+07,1.43E+08
C,P,PL3,170PL3,44,4.10E+07,5.66E+08
C,P,PL3,184PL3,58,1.36E+07,2.28E+08
C,P,PL3,198PL3,72,1.37E+06,2.97E+07
C,P,PL3,217PL3,91,1.41E+06,6.79E+07
C,P,PL3,228PL3,102,7.30E+06,2.97E+07
C,P,PL3,233PL3,107,3.90E+06,3.65E+07
C,P,PL3,245PL3,119,1.23E+07,2.03E+08
C,P,PL3,257PL3,129,1.07E+07,1.08E+08
T,P,PL4,134PL4,8,1.08E+07,4.72E+07
T,P,PL4,149PL4,23,1.08E+07,2.11E+08
T,P,PL4,170PL4,44,1.81E+05,1.72E+08
T,P,PL4,184PL4,58,9.05E+06,4.87E+08
T,P,PL4,198PL4,72,6.55E+06,3.90E+07
T,P,PL4,217PL4,91,3.56E+06,1.25E+08
T,P,PL4,228PL4,102,2.71E+06,2.12E+07
T,P,PL4,233PL4,107,5.09E+05,5.61E+07
T,P,PL4,245PL4,119,4.81E+07,5.35E+07
T,P,PL4,257PL4,129,1.64E+07,4.41E+07
T,P,PL5,134PL5,8,2.57E+07,3.21E+07
T,P,PL5,149PL5,23,2.73E+07,2.30E+08
T,P,PL5,170PL5,44,4.86E+06,1.85E+08
T,P,PL5,184PL5,58,1.13E+06,7.64E+07
T,P,PL5,198PL5,72,1.87E+06,4.02E+07
T,P,PL5,217PL5,91,2.83E+05,4.50E+07
T,P,PL5,228PL5,102,6.22E+05,6.37E+07
T,P,PL5,233PL5,107,1.41E+06,6.03E+07
T,P,PL5,245PL5,119,3.96E+06,1.44E+07
T,P,PL5,257PL5,129,3.39E+06,2.21E+07
