day,lim,cID,Phage,Syn
2,N,NL2,2102120.505,9599786
4,N,NL2,32876397.01,6576179.933
7,N,NL2,90504453.89,7826764.3
9,N,NL2,212132408.7,5740280.2
11,N,NL2,308949211,4678426.32
14,N,NL2,572397140.1,2777080.95
16,N,NL2,573074216.3,649781.4333
18,N,NL2,439955081.1,1624686.814
21,N,NL2,554770148.4,1310524.721
23,N,NL2,365786749,93339.02714
25,N,NL2,127846069.5,218150.239
28,N,NL2,146960746,619088.24
30,N,NL2,245734726,1031737.798
32,N,NL2,307227677.8,754004.1514
35,N,NL2,274303017.8,587609.6257
37,N,NL2,187797993.1,1419582.254
39,N,NL2,137981293.3,726205.5432
42,N,NL2,217095309.8,490049.7486
44,N,NL2,100735827.4,175263.6054
46,N,NL2,131461558.7,187551.8171
49,N,NL2,118105981,290339.9919
51,N,NL2,40327522.33,140028.2756
53,N,NL2,28354918.7,344858.8744
56,N,NL2,77898128.29,397228.1936
58,N,NL2,287444093.4,949203.33
60,N,NL2,109088990.4,1108016.116
63,N,NL2,45430696.45,2469618.416
65,N,NL2,123570139.6,1496415.621
67,N,NL2,123570139.6,1796951.196
70,N,NL2,22488850.95,953121.61
72,N,NL2,1422487.56,3387353.06
74,N,NL2,1446195.686,3066054.1
77,N,NL2,125257932.4,5031561.305
79,N,NL2,182048772.5,20585663.55
81,N,NL2,16704350.44,17061170.69
84,N,NL2,14150787.71,13887503.83
86,N,NL2,24577423.95,78199073.1
88,N,NL2,3962643.917,69005808.65
91,N,NL2,20380521.17,54571844.7
93,N,NL2,38620537.25,44851245.07
95,N,NL2,46823548.85,43153323.73
98,N,NL2,127278767.9,84902597.13
100,N,NL2,41082795.48,56521189
102,N,NL2,49194361.45,42957409.73
105,N,NL2,64762697.52,29772397.53
107,N,NL2,179391486.7,25116174.8
109,N,NL2,114095356.4,28877723.6
112,N,NL2,177858361.3,26696547.73
114,N,NL2,169953394.7,28094067.6
117,N,NL2,291271262.3,53190651
119,N,NL2,156781837.2,37155090.1
121,N,NL2,129754573.6,24058239.2
125,N,NL2,222808968.1,23640289.33
129,N,NL2,84519469.19,23783959.6
131,N,NL2,97227024.73,20564439.53
135,N,NL2,86273870.51,39052190.67
144,N,NL2,130821439.3,27493264.67
146,N,NL2,181367163.9,18807744
149,N,NL2,157137459.1,17351449.93
156,N,NL2,NA,33006066.94
158,N,NL2,NA,12884066.53
160,N,NL2,NA,24040280.42
166,N,NL2,NA,20629744.2
2,N,NL3,2362909.891,22353787.4
4,N,NL3,26620838.62,47166295.5
