day,lim,cID,Phage,Syn
7,N,NL3,99152651.4,4597448.533
9,N,NL3,431590628.4,5890480.933
11,N,NL3,591334544.5,5505183.4
14,N,NL3,710579952.5,1399385.714
16,N,NL3,851690718.4,621581.6909
18,N,NL3,634056895.5,484887.15
21,N,NL3,860706580.1,643017.7357
23,N,NL3,887928589,479989.3
25,N,NL3,257440613.2,1103387.648
28,N,NL3,443253050.7,2445202.634
30,N,NL3,940323547.5,1149514.005
32,N,NL3,716400297.4,569871.4662
35,N,NL3,719393448.3,662533.4932
37,N,NL3,461982470.3,356930.8188
39,N,NL3,488654112,439122.8641
42,N,NL3,421008901.5,444479.8875
44,N,NL3,263089074.2,300299.4281
46,N,NL3,350382394.2,868909.2016
49,N,NL3,310766115.6,743248.7375
51,N,NL3,173140444.2,1826898.05
53,N,NL3,136392848.9,2234399.17
56,N,NL3,168818791.5,2329335.829
58,N,NL3,127857923.5,7209022.969
60,N,NL3,117544888.7,9158979.5
63,N,NL3,82929049.07,13918710.13
65,N,NL3,104695084.4,11583415.25
67,N,NL3,74782203.15,8293284.513
70,N,NL3,6282653.39,5735382.35
72,N,NL3,79896384.62,14102542.77
74,N,NL3,70753938.53,17505895.47
77,N,NL3,68501666.56,18093637.47
79,N,NL3,110851953,23209686.69
81,N,NL3,52024518.99,22727248.46
84,N,NL3,41150532.99,18848326.19
86,N,NL3,45243007.12,41768864.8
88,N,NL3,66935942.41,50140923.07
91,N,NL3,97183559.83,36276742.33
93,N,NL3,76004300.6,35083299.55
95,N,NL3,84262631.16,28603444
98,N,NL3,160128634.4,40608074.35
100,N,NL3,146476705.1,80035766.85
102,N,NL3,125155197.2,75270158.8
105,N,NL3,156070593.5,40012169.27
107,N,NL3,561906294.3,39770542
109,N,NL3,583901508.2,24959443.6
112,N,NL3,307583299.7,17273084.33
114,N,NL3,240795533.1,19175082.75
117,N,NL3,536435864.3,29960148.45
119,N,NL3,276258938.2,22726024
121,N,NL3,237436881.9,13738469.25
125,N,NL3,222698330.2,9000289.16
129,N,NL3,184093598.4,9282405.32
131,N,NL3,163072393.3,18200410.6
135,N,NL3,214795621.6,14279681.68
144,N,NL3,392646080.1,14015197.78
146,N,NL3,214795621.6,14669060.75
149,N,NL3,261895765.2,11833205.6
156,N,NL3,NA,6918213.125
158,N,NL3,NA,12691043.62
160,N,NL3,NA,15935869.24
166,N,NL3,NA,17710625.6
2,N,NL5,2299688.222,23186421.9
4,N,NL5,31735020.09,9103470.533
7,N,NL5,80533869.79,16894317.27
9,N,NL5,509424406.1,4022767.467
11,N,NL5,541202634.5,2217746.48
14,N,NL5,700895183,1834244.825
16,N,NL5,789496401.2,475091.45
18,N,NL5,914930451.1,1309125.336
21,N,NL5,837591157.2,706689.7857
23,N,NL5,963024078.1,134480.9671
25,N,NL5,347620397.5,613602.648
28,N,NL5,790991988.8,1036189.146
30,N,NL5,1029347561,830128.6233
32,N,NL5,890566118,299165.973
35,N,NL5,817811806.4,291885.3851
37,N,NL5,507798423.8,199434.3297
39,N,NL5,559393233,117089.2266
42,N,NL5,615225869.7,217648.2094
44,N,NL5,355574473.7,238923.2453
46,N,NL5,448344370.8,508304.9953
49,N,NL5,294360092.4,1744093.773
51,N,NL5,360482055.8,1982061.938
53,N,NL5,161642003.1,938183.1675
56,N,NL5,341380080,5210904.246
58,N,NL5,74883809.41,10987714.24
60,N,NL5,83294549.35,14036258.53
63,N,NL5,61008910.91,18726439.69
65,N,NL5,66636768.44,9395300.763
67,N,NL5,66636768.44,7659012.938
70,N,NL5,37170954.69,12110283.97
72,N,NL5,157659037.9,12060139.32
74,N,NL5,107008320.1,19595318.28
77,N,NL5,128413371,16934806.16
79,N,NL5,122604880.2,24616594.1
81,N,NL5,106618829.5,19110186.24
84,N,NL5,86206393.54,18375508.74
86,N,NL5,94792990.46,41119899.68
88,N,NL5,87127363.05,54986529.33
91,N,NL5,85191199.43,35542064.83
93,N,NL5,88786931.87,34378009.15
95,N,NL5,177178728.3,19895066.7
98,N,NL5,143374892,61115372.3
100,N,NL5,132805019.1,22059916.4
102,N,NL5,102798434.3,18063270.8
105,N,NL5,301282865.2,8688785.9
107,N,NL5,473451276.2,5113355.4
109,N,NL5,344330895,4809688.7
112,N,NL5,156710712.9,3484003.967
114,N,NL5,110124245.3,5204781.933
117,N,NL5,208512968.2,11477295.17
119,N,NL5,166121521.8,7332081.45
121,N,NL5,207031210.3,18799580.92
125,N,NL5,137566401.1,11265055
129,N,NL5,171291210.4,7714113.75
131,N,NL5,128112785.9,11460969
135,N,NL5,151228208.7,9021839.7
144,N,NL5,310428274.8,18717623.56
146,N,NL5,294929087.4,16941663.15
149,N,NL5,378381691,37879971.9
156,N,NL5,NA,119732024.8
158,N,NL5,NA,28580995.52
160,N,NL5,NA,NA
166,N,NL5,NA,182017166.9
2,P,PL2,2102120.505,42190079.9
4,P,PL2,24957882.93,24645981.2
7,P,PL2,130218199.2,20747292.6
9,P,PL2,210947002.4,11794022.8
11,P,PL2,152723437.1,16801584.64
14,P,PL2,97120338.16,11723003.98
16,P,PL2,71524452.63,12790735.28
18,P,PL2,179847054.6,13250316.87
21,P,PL2,187085006.1,6776991.783
23,P,PL2,134804404.4,7139106.16
25,P,PL2,104256484.1,5406472.885
28,P,PL2,262389684.5,9073078.746
30,P,PL2,28540936.3,9327013.431
32,P,PL2,659870094.7,6645252.177
35,P,PL2,253093363.6,7767990.1
37,P,PL2,268084194,8361006.708
39,P,PL2,176884172.8,3524191.454
42,P,PL2,43622951.84,2967343.585
44,P,PL2,34681601.46,2044852.375
46,P,PL2,101583080.9,2323417.594
49,P,PL2,147851360.5,2852385.394
51,P,PL2,160914953.9,4453370.113
53,P,PL2,130457914.7,13357661.41
56,P,PL2,117434250.8,1214666.8
58,P,PL2,191172167.4,2792754.07
60,P,PL2,183825784.4,1230339.92
63,P,PL2,97282343.69,929367.0375
65,P,PL2,210900715.1,4874340.32
67,P,PL2,210900715.1,3168908.95
70,P,PL2,360177237.1,934019.995
72,P,PL2,162976431.9,853858.5167
74,P,PL2,77728784.53,1345509.364
77,P,PL2,213313863.7,533559.5344
79,P,PL2,149153747.7,496641.99
81,P,PL2,160948540.4,498181.3143
84,P,PL2,81403544.06,1378967.405
86,P,PL2,77723139.74,1354700.784
88,P,PL2,155446279.5,1164129.893
91,P,PL2,108543703.5,2080695.732
93,P,PL2,29160994.98,823328.585
95,P,PL2,125574040.7,846437.5318
98,P,PL2,215230270.5,922510.0475
100,P,PL2,91276285.1,1080710.603
102,P,PL2,219110500.5,1160790.45
105,P,PL2,239778059.3,1555067.375
107,P,PL2,280230049.3,1644759.253
109,P,PL2,319704079.1,1280175.544
112,P,PL2,61700397.92,2053729.728
114,P,PL2,166976331.4,2983840.189
117,P,PL2,233050878.6,5362096.211
119,P,PL2,113265572,5266658.105
121,P,PL2,287698109,5496612.163
125,P,PL2,70223469.21,10084673.15
129,P,PL2,83002149.13,7149636.538
131,P,PL2,99716377.96,11992385.73
135,P,PL2,156592172.2,5194169.925
144,P,PL2,174610348,34520046.8
146,P,PL2,187442371.2,153895344.9
149,P,PL2,237940679.6,46176929.8
156,P,PL2,NA,47794852.92
158,P,PL2,NA,37458348.65
160,P,PL2,NA,85778700.05
166,P,PL2,NA,74192631.8
2,P,PL4,2299688.222,31571541.1
4,P,PL4,68943230.41,16019234.73
7,P,PL4,127794701.8,8607155.067
9,P,PL4,272817308.6,13883772.13
11,P,PL4,280294707.8,10661639.88
14,P,PL4,209437585.1,22341542.78
16,P,PL4,224352959.9,17311450.83
18,P,PL4,432924326.7,7395753.5
21,P,PL4,624531309.2,4900298.925
23,P,PL4,307273118.4,2333825.525
25,P,PL4,370429752.3,1591189.019
28,P,PL4,375554952.9,3503799.444
30,P,PL4,336673626.2,2706062.125
32,P,PL4,606946262.6,2845650.85
35,P,PL4,428843525.3,2691368.575
37,P,PL4,450746186.3,4465002.506
39,P,PL4,304089045.2,879164.075
42,P,PL4,94030075.12,468969.1375
44,P,PL4,113762530.8,403170.3895
46,P,PL4,239962709.2,1128546.271
49,P,PL4,363992682.2,423664.025
51,P,PL4,290059803.1,330218.2026
53,P,PL4,339135623.9,473396.0404
56,P,PL4,135336925.4,1770007.638
58,P,PL4,92072200.76,1628535.125
60,P,PL4,105224565.9,482438.225
63,P,PL4,81457169.58,297911.7263
65,P,PL4,115678720.5,484887.15
67,P,PL4,115678720.5,1422580.533
70,P,PL4,171612963.5,524559.735
72,P,PL4,118371286.2,1329521.383
74,P,PL4,173560416.7,2026730.33
77,P,PL4,208275886.9,2163380.345
79,P,PL4,78518349.8,3498534.255
81,P,PL4,160296566.9,3211823.445
84,P,PL4,160852159.4,3471409.495
86,P,PL4,22463449.39,5967127.989
88,P,PL4,291002429.1,9192914.604
91,P,PL4,232798979.7,8808083.532
93,P,PL4,335865118.3,10273240.38
95,P,PL4,280842509.2,7877701.94
98,P,PL4,385454615.2,8863639.145
100,P,PL4,122926633.3,8028065.935
102,P,PL4,143031124.2,7745949.775
105,P,PL4,152917412.7,8715234.29
107,P,PL4,428791093.9,7262531.98
109,P,PL4,408965173.5,12442987.93
112,P,PL4,241763614.9,10805881.56
114,P,PL4,NA,NA
117,P,PL4,210172537,37463654.65
119,P,PL4,186899060,29680971
121,P,PL4,163467528.8,22241136.85
125,P,PL4,149835356.3,25826363.05
129,P,PL4,50063659.4,22270523.95
131,P,PL4,70432890.99,26898992.2
135,P,PL4,200274394.4,33040896.1
144,P,PL4,333336251.6,28794460.15
146,P,PL4,745959250.2,52700866
149,P,PL4,378302663.9,14948238.2
156,P,PL4,NA,25230730.07
158,P,PL4,NA,17523418.89
160,P,PL4,NA,29101392.08
166,P,PL4,NA,19439566.65
2,P,PL5,1841331.119,9874065.6
4,P,PL5,24537910.41,9854474.2
7,P,PL5,145083194.2,6452101.067
9,P,PL5,254601565.1,15261700.6
11,P,PL5,244581649,14192010.16
14,P,PL5,293204860.1,14749875.28
16,P,PL5,274451193.6,9499380.075
18,P,PL5,448543798,7706766.975
21,P,PL5,859404749.9,8870006.35
23,P,PL5,383290667.6,14999665.63
25,P,PL5,496143339.7,16011071.65
28,P,PL5,511493699.9,11588313.1
30,P,PL5,356807296.3,12114831.98
32,P,PL5,507007393,8336140.7
35,P,PL5,544283861.9,9207958
37,P,PL5,513919223.6,39650544.68
39,P,PL5,547808580.5,4525613.4
42,P,PL5,274726377.2,5492938.775
44,P,PL5,190748808,8086350.35
46,P,PL5,473840766.9,4639896.567
49,P,PL5,850706831.2,3307681.367
51,P,PL5,501090999.8,4713690.84
53,P,PL5,449170203.8,7045067.44
56,P,PL5,582212304.2,6669892.13
58,P,PL5,470453891.7,5916602.8
60,P,PL5,525194261.2,7262531.98
63,P,PL5,451054999.9,2751612.13
65,P,PL5,189834351.8,6354470.59
67,P,PL5,189834351.8,2880915.37
70,P,PL5,219113887.4,1673105.56
72,P,PL5,198809570.9,1299889.39
74,P,PL5,76475640.73,499580.7
77,P,PL5,176610721.1,713453.4833
79,P,PL5,80089013.14,627537.0313
81,P,PL5,159807586.8,592095.6444
84,P,PL5,231679194.1,1239400.943
86,P,PL5,233228689.5,740663.7611
88,P,PL5,334067252.1,560417.1526
91,P,PL5,492812912.5,630533.7421
93,P,PL5,442796669.3,393297.355
95,P,PL5,183998765.9,665862.7075
98,P,PL5,403887683.2,1513190.758
100,P,PL5,312097722,1137770.555
102,P,PL5,283051316.3,1900093.697
105,P,PL5,NA,NA
107,P,PL5,257648059.3,1000079.747
109,P,PL5,203089734.3,1032834.119
112,P,PL5,130483598.5,464377.4031
114,P,PL5,88786931.87,1117254.006
117,P,PL5,101352238.7,2598581.528
119,P,PL5,123356343.1,1950784.844
121,P,PL5,161503141.2,1681921.69
125,P,PL5,86314513.02,1771389.083
129,P,PL5,73867746.87,1701186.567
131,P,PL5,112105567.2,2389497.753
135,P,PL5,193712323.8,2397660.837
144,P,PL5,242872816.5,5494081.607
146,P,PL5,392922674.9,10531077.19
149,P,PL5,573973730.5,10481399
156,P,PL5,NA,17940926.59
158,P,PL5,NA,32614068.88
160,P,PL5,NA,83510893.46
166,P,PL5,NA,111891383.3
