trt,lim,cID,seq-ID,time,flow.syn,flow.het
C,P,PL1,134PL1,8,3.38E+07,5.95E+07
C,P,PL1,149PL1,23,8.48E+07,2.52E+08
C,P,PL1,170PL1,44,1.57E+07,1.35E+08
C,P,PL1,184PL1,58,4.96E+07,3.49E+08
C,P,PL1,198PL1,72,6.13E+06,4.84E+07
C,P,PL1,217PL1,91,3.94E+06,7.55E+07
C,P,PL1,228PL1,102,5.24E+06,3.85E+07
C,P,PL1,233PL1,107,4.86E+07,1.23E+08
C,P,PL1,245PL1,119,8.37E+06,3.22E+07
C,P,PL1,257PL1,129,7.92E+06,4.16E+07
C,P,PL3,134PL3,8,2.50E+07,9.09E+07
C,P,PL3,149PL3,23,2.26E+07,1.43E+08
C,P,PL3,170PL3,44,4.10E+07,5.66E+08
C,P,PL3,184PL3,58,1.36E+07,2.28E+08
C,P,PL3,198PL3,72,1.37E+06,2.97E+07
C,P,PL3,217PL3,91,1.41E+06,6.79E+07
C,P,PL3,228PL3,102,7.30E+06,2.97E+07
C,P,PL3,233PL3,107,3.90E+06,3.65E+07
C,P,PL3,245PL3,119,1.23E+07,2.03E+08
C,P,PL3,257PL3,129,1.07E+07,1.08E+08
