"Row.names","V1","V2","V3","lim","meta.name"
"4698542.3",-0.0572059467445137,-0.0515811742915984,-0.0505048923572888,"P","21P5S1R2"
"4698546.3",-0.0340138148925415,-0.0578596395084325,-0.0687263406285719,"P","21P5S1R1"
"4698548.3",0.112187624307116,0.00732771429355846,0.0211526884016402,"N","21N2S3R2"
"4698551.3",0.0479308550050077,-0.000337052851840416,-0.0195561666596906,"N","21N3S2R2"
"4698553.3",0.0617257615277548,-0.000219692292407342,-0.0208874565495589,"N","03N5S2R2"
"4698554.3",-0.26237348400983,0.0643671053160552,-0.0252891653767447,"P","21P3S4R2"
"4698560.3",0.0864967276707368,0.020035537405697,0.0033701928391782,"N","21N3S2R1"
"4698562.3",-0.229739966258262,0.0516906610219868,0.0274154493620669,"P","21P3S4R2"
"4698569.3",0.0661158703185586,0.012083262738823,-0.0315305028987403,"N","03N5S2R1"
"4698570.3",-0.076788263442771,-0.0902983977485625,0.067342868181826,"P","03P2S4R2"
"4698574.3",-0.0623258429142734,-0.0483647762170036,0.0505923837147229,"P","03P2S4R1"
"4698577.3",0.107479588198549,0.00871217669300785,0.00581992605406268,"N","03N1S1R2"
"4698578.3",0.0968098075085878,0.0532883565733806,0.0443835594269927,"P","21P4S2R1"
"4698582.3",0.14370108372588,0.0311559188673361,-0.00358254350989461,"N","21N2S3R1"
